hotel_id,room_type,competitor,check_in_date,price,currency,is_available,source,collected_at
H001,standard,booking,2025-09-01,5610.49,INR,True,synthetic,2025-08-25 09:31:00+00:00
H001,standard,expedia,2025-09-01,5857.25,INR,True,synthetic,2025-08-25 12:47:00+00:00
H001,standard,agoda,2025-09-01,5387.79,INR,True,synthetic,2025-08-25 12:43:00+00:00
H001,standard,makemytrip,2025-09-01,6201.22,INR,True,synthetic,2025-08-25 10:22:00+00:00
H001,deluxe,booking,2025-09-01,7651.41,INR,False,synthetic,2025-08-25 09:29:00+00:00
H001,deluxe,agoda,2025-09-01,7103.46,INR,True,synthetic,2025-08-25 11:00:00+00:00
H001,deluxe,makemytrip,2025-09-01,7765.33,INR,True,synthetic,2025-08-25 11:02:00+00:00
H001,premium,expedia,2025-09-01,9416.14,INR,True,synthetic,2025-08-25 10:53:00+00:00
H001,premium,makemytrip,2025-09-01,10211.76,INR,False,synthetic,2025-08-25 12:54:00+00:00
H001,suite,booking,2025-09-01,14142.95,INR,True,synthetic,2025-08-25 10:25:00+00:00
H001,suite,expedia,2025-09-01,14225.77,INR,False,synthetic,2025-08-25 10:37:00+00:00
H001,suite,agoda,2025-09-01,13046.35,INR,True,synthetic,2025-08-25 11:02:00+00:00
H001,suite,makemytrip,2025-09-01,15042.62,INR,True,synthetic,2025-08-25 09:54:00+00:00
H001,standard,booking,2025-09-02,6647.11,INR,True,synthetic,2025-08-26 09:06:00+00:00
H001,standard,agoda,2025-09-02,6189.67,INR,False,synthetic,2025-08-26 12:29:00+00:00
H001,standard,makemytrip,2025-09-02,6860.17,INR,False,synthetic,2025-08-26 10:59:00+00:00
H001,deluxe,booking,2025-09-02,7737.17,INR,True,synthetic,2025-08-26 10:37:00+00:00
H001,deluxe,agoda,2025-09-02,7389.99,INR,True,synthetic,2025-08-26 09:15:00+00:00
H001,deluxe,makemytrip,2025-09-02,7881.56,INR,True,synthetic,2025-08-26 11:08:00+00:00
H001,premium,booking,2025-09-02,10627.55,INR,True,synthetic,2025-08-26 11:38:00+00:00
H001,premium,expedia,2025-09-02,10030.48,INR,True,synthetic,2025-08-26 12:57:00+00:00
H001,premium,agoda,2025-09-02,10016.52,INR,True,synthetic,2025-08-26 10:33:00+00:00
H001,premium,makemytrip,2025-09-02,10582.28,INR,False,synthetic,2025-08-26 11:37:00+00:00
H001,suite,expedia,2025-09-02,15230.48,INR,True,synthetic,2025-08-26 10:56:00+00:00
H001,suite,agoda,2025-09-02,14618.04,INR,True,synthetic,2025-08-26 09:13:00+00:00
H001,suite,makemytrip,2025-09-02,14782.64,INR,False,synthetic,2025-08-26 11:11:00+00:00
H001,standard,booking,2025-09-03,6085.4,INR,True,synthetic,2025-08-27 09:30:00+00:00
H001,standard,expedia,2025-09-03,5539.97,INR,True,synthetic,2025-08-27 12:40:00+00:00
H001,standard,agoda,2025-09-03,5802.96,INR,True,synthetic,2025-08-27 12:56:00+00:00
H001,standard,makemytrip,2025-09-03,6146.76,INR,True,synthetic,2025-08-27 12:01:00+00:00
H001,deluxe,expedia,2025-09-03,7531.94,INR,True,synthetic,2025-08-27 09:38:00+00:00
H001,deluxe,agoda,2025-09-03,6780.75,INR,True,synthetic,2025-08-27 12:16:00+00:00
H001,deluxe,makemytrip,2025-09-03,7532.56,INR,True,synthetic,2025-08-27 11:39:00+00:00
H001,premium,booking,2025-09-03,10103.77,INR,True,synthetic,2025-08-27 10:46:00+00:00
H001,premium,expedia,2025-09-03,9790.4,INR,True,synthetic,2025-08-27 11:23:00+00:00
H001,premium,makemytrip,2025-09-03,10823.12,INR,True,synthetic,2025-08-27 11:42:00+00:00
H001,suite,expedia,2025-09-03,14512.0,INR,False,synthetic,2025-08-27 11:20:00+00:00
H001,suite,makemytrip,2025-09-03,15369.62,INR,False,synthetic,2025-08-27 12:36:00+00:00
H001,standard,booking,2025-09-04,6189.36,INR,True,synthetic,2025-08-28 11:18:00+00:00
H001,standard,expedia,2025-09-04,6137.25,INR,True,synthetic,2025-08-28 09:28:00+00:00
H001,standard,agoda,2025-09-04,5941.42,INR,True,synthetic,2025-08-28 12:55:00+00:00
H001,standard,makemytrip,2025-09-04,6447.06,INR,True,synthetic,2025-08-28 10:07:00+00:00
H001,deluxe,booking,2025-09-04,7961.32,INR,True,synthetic,2025-08-28 10:03:00+00:00
H001,deluxe,expedia,2025-09-04,7334.79,INR,True,synthetic,2025-08-28 09:06:00+00:00
H001,deluxe,agoda,2025-09-04,7128.22,INR,True,synthetic,2025-08-28 12:31:00+00:00
H001,deluxe,makemytrip,2025-09-04,7718.04,INR,True,synthetic,2025-08-28 10:36:00+00:00
H001,premium,booking,2025-09-04,9578.77,INR,False,synthetic,2025-08-28 09:25:00+00:00
H001,premium,expedia,2025-09-04,9341.02,INR,True,synthetic,2025-08-28 10:39:00+00:00
H001,premium,makemytrip,2025-09-04,10225.91,INR,False,synthetic,2025-08-28 12:22:00+00:00
H001,suite,booking,2025-09-04,15744.93,INR,True,synthetic,2025-08-28 11:42:00+00:00
H001,suite,expedia,2025-09-04,16020.49,INR,False,synthetic,2025-08-28 11:26:00+00:00
H001,suite,agoda,2025-09-04,13798.16,INR,True,synthetic,2025-08-28 11:23:00+00:00
H001,suite,makemytrip,2025-09-04,15337.77,INR,True,synthetic,2025-08-28 10:51:00+00:00
H001,standard,booking,2025-09-05,5661.43,INR,False,synthetic,2025-08-29 10:52:00+00:00
