room_id,hotel_id,room_type,capacity,room_count,base_price,floor_price,ceiling_price
H001-STA,H001,standard,2,108,6200.0,4030.0,13640.0
H001-DEL,H001,deluxe,2,72,7936.0,5158.4,17459.2
H001-PRE,H001,premium,3,41,10230.0,6649.5,22506.0
H001-SUI,H001,suite,4,19,16120.0,10478.0,35464.0
H002-STA,H002,standard,2,72,4800.0,3120.0,10560.0
H002-DEL,H002,deluxe,2,48,6144.0,3993.6,13516.8
H002-PRE,H002,premium,3,27,7920.0,5148.0,17424.0
H002-SUI,H002,suite,4,13,12480.0,8112.0,27456.0
H003-STA,H003,standard,2,81,4200.0,2730.0,9240.0
H003-DEL,H003,deluxe,2,54,5376.0,3494.4,11827.2
H003-PRE,H003,premium,3,31,6930.0,4504.5,15246.0
H003-SUI,H003,suite,4,14,10920.0,7098.0,24024.0
H004-STA,H004,standard,2,63,7000.0,4550.0,15400.0
H004-DEL,H004,deluxe,2,42,8960.0,5824.0,19712.0
H004-PRE,H004,premium,3,24,11550.0,7507.5,25410.0
H004-SUI,H004,suite,4,11,18200.0,11830.0,40040.0
H005-STA,H005,standard,2,54,6500.0,4225.0,14300.0
H005-DEL,H005,deluxe,2,36,8320.0,5408.0,18304.0
H005-PRE,H005,premium,3,20,10725.0,6971.25,23595.0
H005-SUI,H005,suite,4,10,16900.0,10985.0,37180.0
H006-STA,H006,standard,2,94,5200.0,3380.0,11440.0
H006-DEL,H006,deluxe,2,63,6656.0,4326.4,14643.2
H006-PRE,H006,premium,3,36,8580.0,5577.0,18876.0
H006-SUI,H006,suite,4,17,13520.0,8788.0,29744.0
H007-STA,H007,standard,2,41,8200.0,5330.0,18040.0
H007-DEL,H007,deluxe,2,27,10496.0,6822.4,23091.2
H007-PRE,H007,premium,3,15,13530.0,8794.5,29766.0
H007-SUI,H007,suite,4,7,21320.0,13858.0,46904.0
H008-STA,H008,standard,2,59,2900.0,1885.0,6380.0
H008-DEL,H008,deluxe,2,39,3712.0,2412.8,8166.4
H008-PRE,H008,premium,3,22,4785.0,3110.25,10527.0
H008-SUI,H008,suite,4,10,7540.0,4901.0,16588.0
